state,tot_cases
VT,13249
MT,96842
OH,931437
WV,126420
CT,266499
TN,752033
NH,69612
AK,54134
MA,533154
VI,2524
TX,2529343
PA,884269
CA,3371556
RI,120381
ID,166876
MD,368977
SD,109859
MI,626477
NE,195441
ND,98466
NM,179323
OK,413641
MS,285648
VA,544209
OR,149082
IL,1155833
NJ,736330
KS,284894
DC,38533
MO,470107
NY,1520324
ME,42259
AR,311043
KY,384903
WI,604683
PR,96924
HI,25905
UT,358581
FL,1774013
GU,7689
SC,476287
AL,477570
WY,52979
DE,81875
LA,417415
WA,326159
NV,286387
CO,409683
AZ,791106
GA,955085
IN,645006
IA,327426
NC,810466
MN,470803